ID, Offer, Beautician, Client, Start Time, Treatment Status, Price
68bcdce5-a2eb-458f-bc85-f2dfc3641d43, Francuski manikir, ZikaZ, MM, 2023-06-08T18:00, Izvršen, 1500.0
be92343c-4216-4f9a-b523-eb849c98305f, Francuski manikir, ZikaZ, MM, 2023-06-01T18:00, Izvršen, 1500.0
11e40eab-e21f-4bce-ad9f-a23bc8e35dfc, Relaks masaža, ZikaZ, MM, 2023-06-13T19:00, Nije se pojavio, 2000.0
b11c24ac-5a41-4b26-b854-490a63ed5ee3, Francuski manikir, ZikaZ, MM, 2023-06-04T18:00, Izvršen, 1500.0
1884a9a5-9a1a-4fd9-bc25-4ebcdedb0927, Francuski manikir, ZikaZ, MM, 2023-06-06T18:00, Izvršen, 1500.0
fa39f66d-b816-4cd2-8bf5-68eacad4a4b1, Francuski manikir, JadrankaJ, MilicaM, 2023-06-10T18:00, Izvršen, 1500.0
1678d367-7dbd-4ea5-bec7-143e9ca3a1d7, Spa pedikir, ZikaZ, MilicaM, 2023-06-11T09:00, Otkazao klijent, 1600.0
cd7134f2-cce9-4234-99ba-ff8d033a9d9e, Francuski manikir, ZikaZ, MM, 2023-06-05T18:00, Izvršen, 1500.0
af6e64c9-f121-4fe8-9596-47c7590df23c, Francuski manikir, ZikaZ, MM, 2023-06-07T18:00, Izvršen, 1500.0
e8f65e3d-f6c3-4378-aece-c8e2acfbe6f7, Spa manikir, JadrankaJ, MM, 2023-06-14T09:00, Izvršen, 2000.0
8844b975-93ae-4e13-9a63-904cbedc8bae, Francuski manikir, ZikaZ, MM, 2023-06-03T18:00, Izvršen, 1500.0
2ff2108a-3b69-45ce-9b67-0f389157606f, Sportska masaža, SimaS, MM, 2023-06-12T08:00, Otkazao salon, 2500.0
28184ef0-a0fe-4ed4-91fb-cc8a7994915d, Francuski manikir, ZikaZ, MM, 2023-06-02T18:00, Izvršen, 1500.0
3095c7fe-d139-48b6-842f-f4cb4007665c, Gel lak, SimaS, MilicaM, 2023-06-14T09:00, Zakazan, 1600.0
31904c01-4d01-4703-becc-89495ca744cd, Francuski manikir, ZikaZ, MM, 2023-06-09T18:00, Izvršen, 1500.0
2624a0ca-f814-4137-a599-09422fa7ee4c, Francuski manikir, ZikaZ, MM, 2023-06-10T18:00, Izvršen, 1500.0
